id,name,slug,description,parent_id,level,display_order,active,featured,product_count,show_in_menu,show_in_footer
8050,Pet Eye Drops & Lubricants,pet-eye-drops-lubricants,Animals & Pet Supplies > Pet Supplies > Pet Eye Drops & Lubricants,2,3,76,true,false,0,false,false
8068,Pet First Aid & Emergency Kits,pet-first-aid-emergency-kits,Animals & Pet Supplies > Pet Supplies > Pet First Aid & Emergency Kits,2,3,77,true,false,0,false,false
6248,Pet Flea & Tick Control,pet-flea-tick-control,Animals & Pet Supplies > Pet Supplies > Pet Flea & Tick Control,2,3,78,true,false,0,false,false
5162,Pet Food Containers,pet-food-containers,Animals & Pet Supplies > Pet Supplies > Pet Food Containers,2,3,79,true,false,0,false,false
5163,Pet Food Scoops,pet-food-scoops,Animals & Pet Supplies > Pet Supplies > Pet Food Scoops,2,3,80,true,false,0,false,false
6383,Pet Grooming Supplies,pet-grooming-supplies,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies,2,3,81,true,false,0,false,false
6385,Pet Combs & Brushes,pet-combs-brushes,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Combs & Brushes,6383,4,82,true,false,0,false,false
503733,Pet Fragrances & Deodorizing Sprays,pet-fragrances-deodorizing-sprays,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Fragrances & Deodorizing Sprays,6383,4,83,true,false,0,false,false
6384,Pet Hair Clippers & Trimmers,pet-hair-clippers-trimmers,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Hair Clippers & Trimmers,6383,4,84,true,false,0,false,false
8167,Pet Hair Dryers,pet-hair-dryers,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Hair Dryers,6383,4,85,true,false,0,false,false
7318,Pet Nail Polish,pet-nail-polish,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Nail Polish,6383,4,86,true,false,0,false,false
7319,Pet Nail Tools,pet-nail-tools,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Nail Tools,6383,4,87,true,false,0,false,false
6406,Pet Shampoo & Conditioner,pet-shampoo-conditioner,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Shampoo & Conditioner,6383,4,88,true,false,0,false,false
499917,Pet Wipes,pet-wipes,Animals & Pet Supplies > Pet Supplies > Pet Grooming Supplies > Pet Wipes,6383,4,89,true,false,0,false,false
500110,Pet Heating Pad Accessories,pet-heating-pad-accessories,Animals & Pet Supplies > Pet Supplies > Pet Heating Pad Accessories,2,3,90,true,false,0,false,false
499743,Pet Heating Pads,pet-heating-pads,Animals & Pet Supplies > Pet Supplies > Pet Heating Pads,2,3,91,true,false,0,false,false
5093,Pet ID Tags,pet-id-tags,Animals & Pet Supplies > Pet Supplies > Pet ID Tags,2,3,92,true,false,0,false,false
6253,Pet Leash Extensions,pet-leash-extensions,Animals & Pet Supplies > Pet Supplies > Pet Leash Extensions,2,3,93,true,false,0,false,false
6249,Pet Leashes,pet-leashes,Animals & Pet Supplies > Pet Supplies > Pet Leashes,2,3,94,true,false,0,false,false
5145,Pet Medical Collars,pet-medical-collars,Animals & Pet Supplies > Pet Supplies > Pet Medical Collars,2,3,95,true,false,0,false,false
6861,Pet Medical Tape & Bandages,pet-medical-tape-bandages,Animals & Pet Supplies > Pet Supplies > Pet Medical Tape & Bandages,2,3,96,true,false,0,false,false
5086,Pet Medicine,pet-medicine,Animals & Pet Supplies > Pet Supplies > Pet Medicine,2,3,97,true,false,0,false,false
5144,Pet Muzzles,pet-muzzles,Animals & Pet Supplies > Pet Supplies > Pet Muzzles,2,3,98,true,false,0,false,false
7144,Pet Oral Care Supplies,pet-oral-care-supplies,Animals & Pet Supplies > Pet Supplies > Pet Oral Care Supplies,2,3,99,true,false,0,false,false
5087,Pet Playpens,pet-playpens,Animals & Pet Supplies > Pet Supplies > Pet Playpens,2,3,100,true,false,0,false,false
6973,Pet Steps & Ramps,pet-steps-ramps,Animals & Pet Supplies > Pet Supplies > Pet Steps & Ramps,2,3,101,true,false,0,false,false
